"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.92769180864984e-08,1.18615862029974,0.799,0.405,0.0009452053004226,"0","Myct1"
5.85073979736053e-07,0.859415763955534,0.973,0.671,0.0188891134357785,"0","Sgms1"
9.19236350257716e-07,0.852350562702856,0.702,0.362,0.0296775455680704,"0","Adam22"
6.5823533210311e-06,1.14703658581989,0.989,0.544,0.212511276969489,"0","Prkg1"
6.75335307734484e-06,1.1193638727527,0.946,0.491,0.218032004102078,"0","Samd12"
7.36267100113856e-06,1.00016489568289,0.868,0.5,0.237703833271758,"0","Spns2"
9.96186463364532e-06,1.0808342318538,0.595,0.245,0.321618799697239,"0","Slc18a2"
1.31716367520533e-05,0.565307571277525,0.925,0.677,0.425246292540041,"0","Nrip1"
1.72192311598208e-05,1.2394723019505,0.817,0.376,0.555922877994815,"0","Trpc6"
1.81168827634358e-05,0.730475351496327,0.971,0.729,0.584903560017526,"0","Cdk17"
1.84880588537226e-05,0.508104123092265,0.72,0.519,0.596886980092434,"0","4632427E13Rik"
2.12031167047412e-05,1.08845223765787,0.998,0.629,0.684542622812571,"0","Hlf"
2.72915713005465e-05,0.783204634223226,0.857,0.505,0.881108379438143,"0","Ppp1r9a"
2.98301060343113e-05,0.907791535570619,0.823,0.442,0.963064973317739,"0","Eya2"
3.30274644145603e-05,0.462495815448755,0.66,0.44,1,"0","Tsc22d3"
3.4544820262324e-05,0.668582672175676,1,0.797,1,"0","Msi2"
4.45103387866287e-05,0.446507778390232,0.772,0.524,1,"0","Dock7"
5.18257852719482e-05,1.35100472183161,0.746,0.299,1,"0","Mpl"
5.42838041999697e-05,0.579564522220191,0.964,0.716,1,"0","Nfat5"
5.49335577112549e-05,0.778152371754782,0.777,0.465,1,"0","Eng"
5.65401343103461e-05,1.26011717105365,0.538,0.197,1,"0","Pdzk1ip1"
5.67336803329273e-05,0.559070254742715,0.997,0.75,1,"0","Lrmda"
6.05605877239457e-05,1.436558091968,0.516,0.214,1,"0","Krt18"
7.29946705564777e-05,1.19677160895836,0.889,0.536,1,"0","Myl10"
7.48617337931303e-05,0.595729993032024,0.953,0.656,1,"0","Tmem176b"
7.56019298087736e-05,0.488064961306228,0.978,0.709,1,"0","Erg"
8.2428806350883e-05,0.504667213454978,0.958,0.742,1,"0","Diaph1"
8.28673283645286e-05,0.532487211960345,0.643,0.437,1,"0","Snhg12"
8.89788770486535e-05,0.789811392075222,0.976,0.626,1,"0","Mir99ahg"
8.98034442313207e-05,1.24106749052019,0.664,0.246,1,"0","Dlg2"
9.12294183987742e-05,1.35093637198593,0.759,0.333,1,"0","Rbp1"
9.29233285783676e-05,0.83728280314238,0.741,0.36,1,"0","Hacd4"
9.75922199597501e-05,0.776507230419746,0.8,0.521,1,"0","Zbtb38"
0.00010121258681613,0.830247238069676,0.861,0.524,1,"0","Nceh1"
0.000102622824336336,0.788853346062215,0.99,0.668,1,"0","Adgrg1"
0.000103652705210565,0.902805005612517,0.606,0.33,1,"0","Pglyrp2"
0.00011435797757938,0.652195684018276,0.799,0.481,1,"0","Nfia"
0.000129266319347748,0.794169170736907,0.963,0.668,1,"0","Mllt3"
0.000129718709727835,0.63369915225258,0.99,0.74,1,"0","Mctp1"
0.000131566192706386,1.41020470570758,0.405,0.145,1,"0","Gm973"
0.000146843936990721,1.39741305534998,0.507,0.191,1,"0","Procr"
0.000151349531887788,0.654520910022648,0.949,0.616,1,"0","Pard3b"
0.000154222225540241,0.718697320702466,0.813,0.502,1,"0","Zfp521"
0.000158926758126203,1.2267344647983,0.884,0.442,1,"0","Csgalnact1"
0.000165278488511767,0.570740112778015,0.968,0.739,1,"0","Txnip"
0.000173716418846007,0.613013418956228,0.959,0.65,1,"0","Tbxas1"
0.00017523764561781,0.402327289665237,0.741,0.54,1,"0","Prmt3"
0.000184539719472174,0.458452420258516,0.989,0.741,1,"0","Igf1r"
0.000195855208757878,0.652830115199641,0.962,0.696,1,"0","Cbfa2t3"
0.000219153887994612,0.450697584996959,0.761,0.546,1,"0","Ptpn12"
0.000221503030241898,0.913137090116937,0.702,0.372,1,"0","Tal1"
0.000224645138581265,0.854647522889246,0.695,0.384,1,"0","Abcg2"
0.000225573308809268,1.08475979026948,0.581,0.266,1,"0","Gulp1"
0.000250684975289946,1.22424469501993,0.421,0.172,1,"0","Scarf1"
0.000259508018578312,1.07276295311474,1,0.691,1,"0","Angpt1"
0.000273670755841759,1.10032010150564,0.534,0.209,1,"0","Nbea"
0.000296320140894081,0.39772426860279,0.652,0.403,1,"0","Tspan4"
0.000323273099741088,0.293079830026929,0.869,0.641,1,"0","Lpp"
0.00035856951529494,0.772537902888413,0.998,0.769,1,"0","Lmo2"
0.000378995038678641,1.26002711813344,0.537,0.225,1,"0","Gm16070"
0.000379762285465224,0.380501284163167,0.849,0.606,1,"0","Snhg8"
0.000380716356700724,1.07546835693025,0.792,0.32,1,"0","Plxdc2"
0.000426389794817904,0.915857596901464,0.629,0.341,1,"0","Rhobtb3"
0.000430478093311971,0.538982130105815,0.981,0.723,1,"0","Ifitm2"
0.000445529982237444,0.459323176455439,0.482,0.263,1,"0","Cd200r1"
0.000486975652205838,0.836310559634154,0.999,0.694,1,"0","Meis1"
0.000506165674593437,1.13379120040612,0.786,0.377,1,"0","Prdm16"
0.000525388443337386,0.639663825251592,0.784,0.404,1,"0","Itsn1"
0.000534761696623251,1.29459204119012,0.416,0.154,1,"0","Palld"
0.000543506303210299,1.02788380270578,0.543,0.25,1,"0","Mdga1"
0.000605154221004748,0.271474405243646,0.851,0.62,1,"0","Mrpl52"
0.000617325739294926,0.530883642345606,0.696,0.463,1,"0","Pigp"
0.000682495223317369,0.477606397890263,0.911,0.667,1,"0","Pnrc1"
0.000683621145511699,0.461908382654196,0.905,0.676,1,"0","Adipor2"
0.000772339675998803,0.552097374946995,0.86,0.614,1,"0","Srebf2"
0.00079319433821178,0.422310975267278,0.665,0.417,1,"0","Gabarapl1"
0.000806335490374624,0.614159505771874,0.99,0.729,1,"0","Zfp608"
0.00091484639241798,1.12740753786095,0.494,0.215,1,"0","Shank3"
0.00092838494983948,0.262210918644171,0.758,0.554,1,"0","Crebrf"
0.000941068757327173,0.682670493802323,0.437,0.197,1,"0","Tfec"
0.000943687143945279,0.198630606563813,0.969,0.768,1,"0","Tut4"
0.000958270954752717,0.619383979450161,0.891,0.614,1,"0","Exoc6b"
0.0009661855693959,0.968644075581225,0.431,0.22,1,"0","Mycn"
0.0009896067470149,1.05285830455196,0.494,0.23,1,"0","Vegfc"
0.00106806443971666,0.786733675114517,0.532,0.302,1,"0","Gm15657"
0.00107365825976119,0.765119754808294,0.972,0.684,1,"0","Kit"
0.00107365825976119,0.647399293769388,0.969,0.711,1,"0","2410006H16Rik"
0.00108754591004302,0.829147602140719,0.947,0.614,1,"0","Rbpms"
0.00109335055309399,0.571719162049205,0.969,0.716,1,"0","Nedd4"
0.00125024358100862,0.667409750309543,0.857,0.562,1,"0","Nfix"
0.00128143242602463,0.530744402285581,0.961,0.702,1,"0","Cpq"
0.00133321471317879,0.454518727401711,0.957,0.696,1,"0","Maml2"
0.0013360908089136,0.283597158474926,0.89,0.682,1,"0","Lrba"
0.00134308820117375,0.385881420653047,0.852,0.648,1,"0","Uri1"
0.00135095040990906,0.93946159639682,0.999,0.627,1,"0","Mecom"
0.00136852716861452,0.973607292037621,0.487,0.249,1,"0","Pafah2"
0.00140774788551448,0.939656898456052,0.882,0.455,1,"0","Dach1"
0.00141078286248076,0.145568474460883,0.943,0.738,1,"0","Park7"
0.00147179818970484,0.986649382023244,0.885,0.536,1,"0","Gimap1"
0.00149886277278818,0.461910870511074,0.685,0.476,1,"0","Zdhhc17"
0.00150848637878497,0.37661237509696,0.964,0.748,1,"0","Zeb1"
0.00165204369853179,0.351881709176516,0.904,0.702,1,"0","Mbtd1"
0.00174910044283717,0.935885542664237,0.808,0.473,1,"0","Nfe2"
0.00180429555097904,0.416264286619666,0.694,0.48,1,"0","Rab31"
0.00183344338191057,1.01029551957195,0.985,0.632,1,"0","Ctla2a"
0.00183874598329226,0.992742584853964,0.384,0.179,1,"0","Creb5"
0.00184676819530655,1.18820242554702,0.406,0.181,1,"0","Ccdc112"
0.00184678887835035,0.751645290430073,0.879,0.569,1,"0","Map7"
0.00186243091301409,0.787274143674564,0.687,0.42,1,"0","Pik3ip1"
0.0020380291724851,1.0919166631777,0.547,0.265,1,"0","Zfp532"
0.00210608701186616,1.26574840511333,0.676,0.314,1,"0","Gm19590"
0.00215140136054426,0.969388766400176,0.998,0.668,1,"0","Nrxn1"
0.00216324019892494,0.622153834044696,0.894,0.63,1,"0","Heatr5a"
0.00216760514999489,0.747611624437344,0.54,0.302,1,"0","Tmtc2"
0.00223074785045857,0.578659563981091,0.749,0.468,1,"0","Gria3"
0.00225675567931651,0.715452583699466,0.682,0.423,1,"0","Itga6"
0.00228016873652037,0.675248411631013,0.622,0.405,1,"0","Plcb2"
0.00252804474387677,0.501007631641876,0.795,0.543,1,"0","Fgd4"
0.00257670619482188,0.982563372647286,0.672,0.373,1,"0","Ldhb"
0.00263565971823888,0.510585380417774,0.969,0.695,1,"0","Ptprcap"
0.00263565971823888,0.885491808643397,0.976,0.719,1,"0","Pim1"
0.00264025799147353,0.301574740758855,0.841,0.622,1,"0","Klhl24"
0.00264055207860369,1.29366340497957,0.376,0.136,1,"0","Tie1"
0.0026591721151171,0.34347494716264,0.829,0.625,1,"0","Ralgapa2"
0.00272295812085469,0.840097030874261,0.883,0.558,1,"0","Osbpl1a"
0.00279021785913003,0.466078697682958,0.992,0.752,1,"0","Ptpre"
0.00283727943442236,0.87131629384184,0.999,0.664,1,"0","Gcnt2"
0.00284258827895072,0.453057156471078,0.872,0.609,1,"0","Shisa5"
0.00284377697650244,1.15992391776304,0.99,0.629,1,"0","Ifitm1"
0.00290783266391501,0.526837591034093,0.95,0.717,1,"0","Ankrd13a"
0.00293302075368318,0.581333275096434,0.907,0.665,1,"0","Stat3"
0.0029673737414458,0.413062201089584,0.687,0.458,1,"0","Prkcq"
0.00320417875005441,0.24134121157588,0.91,0.687,1,"0","Sptssa"
0.00350760706796774,1.39602529674887,0.502,0.172,1,"0","Mamdc2"
0.00360869855936481,0.634063457604684,0.636,0.389,1,"0","Acox1"
0.00365025268955361,1.01070104986134,0.813,0.448,1,"0","Ltb"
0.00396911564074085,0.764931889139266,0.972,0.702,1,"0","Gse1"
0.0040076494248394,0.679573960717565,0.576,0.353,1,"0","Prdm5"
0.00406920820941309,0.294440763365954,0.901,0.663,1,"0","Fkbp3"
0.00425767763966517,0.674834200224441,0.576,0.34,1,"0","2210408F21Rik"
0.00466735202293695,0.415869522689087,0.866,0.63,1,"0","Bin2"
0.00471616363591216,0.684029525350091,0.972,0.635,1,"0","Cacnb2"
0.00472328418479184,0.703556326161022,0.671,0.426,1,"0","Ppp2r3a"
0.00489471222732753,0.240780206533134,0.911,0.699,1,"0","Uba52"
0.00535271463973355,0.360072373751664,0.78,0.536,1,"0","Plxnc1"
0.00538973384144984,0.125918791855611,0.835,0.599,1,"0","S100a10"
0.00544460804586306,0.564077080865073,0.658,0.444,1,"0","Fhit"
0.00545981753189259,0.866382592820091,0.913,0.603,1,"0","Prkag2"
0.00563215455762733,0.463277469628323,0.705,0.449,1,"0","Clnk"
0.00585910920967155,1.05820863009011,0.45,0.22,1,"0","Gimap5"
0.00590341803784704,1.14222485875875,0.426,0.163,1,"0","Grb10"
0.00625452854372212,0.643598673266665,0.844,0.544,1,"0","Cd27"
0.00626194514173854,0.602224943125242,0.614,0.399,1,"0","Epb41l4aos"
0.00627574343561597,0.402075208596316,0.761,0.559,1,"0","Ipo11"
0.00666215008870623,0.699441636009291,0.486,0.285,1,"0","Irak3"
0.0070568360246363,0.485278266018671,0.811,0.596,1,"0","Lonp2"
0.0072841948080341,0.337197840785168,0.865,0.626,1,"0","Ppm1h"
0.00738825458218808,0.918012528304287,0.558,0.324,1,"0","Inka1"
0.00743766919011976,0.542691971448593,0.755,0.537,1,"0","Hk1"
0.00752597226261316,0.658473436244421,0.92,0.608,1,"0","Arhgap6"
0.00770674388144854,0.362880468818987,0.981,0.774,1,"0","Ccnd3"
0.00774458902532354,0.512297261902926,0.925,0.665,1,"0","Ern1"
0.0079791410709577,0.581953490866979,0.994,0.766,1,"0","Fchsd2"
0.00808902605510725,0.64928116282066,0.852,0.605,1,"0","Def6"
0.00814204488693614,0.909024406547796,0.512,0.276,1,"0","Rgs1"
0.00837920351865546,0.71265494578897,0.839,0.526,1,"0","Eya1"
0.00889081692558853,0.696738016964015,0.666,0.44,1,"0","Lyl1"
0.00905379505737328,0.422514311986906,0.945,0.744,1,"0","Kmt2a"
0.00907002202880812,0.361380573548731,0.906,0.695,1,"0","Supt3"
0.00945101253995718,0.644976703769065,0.762,0.486,1,"0","Ttc28"
0.00955481667708726,0.755143647319963,0.638,0.311,1,"0","Rora"
0.00962428347222359,1.12754610648201,0.466,0.203,1,"0","Mill2"
0.00966773303347776,0.672880605289383,0.775,0.514,1,"0","Dtd1"
0.00988301077541502,0.329427292154157,0.89,0.687,1,"0","Chd6"
2.71971619297322e-09,1.37595313518728,0.992,0.55,8.78060372901403e-05,"1","Flt3"
5.38135530817799e-09,1.13893042288465,1,0.713,0.000173737056124527,"1","Adgrl4"
7.11051276972098e-08,0.306705533819046,0.902,0.678,0.00229562904770442,"1","Dcaf8"
7.53356124273795e-08,1.05235980947724,0.988,0.599,0.00243221024721795,"1","Cd34"
1.02317909542773e-07,0.829801171398808,0.999,0.688,0.00330333370958844,"1","Gcnt2"
1.24946049849103e-07,0.974780961670547,1,0.764,0.00403388321937828,"1","Rnf220"
2.42497675905149e-07,0.886482474474783,0.918,0.639,0.00782903746659775,"1","Chst11"
3.13158783782881e-07,0.432854899417035,0.886,0.631,0.0101103313344303,"1","Klhl24"
4.5214212690851e-07,0.762564812204209,0.919,0.631,0.0145974085672412,"1","Arhgap6"
5.5083890956303e-07,0.673241560908577,0.972,0.65,0.0177838341952424,"1","Ikzf2"
6.6166038531176e-07,0.811083253849211,1,0.724,0.0213617055397902,"1","2610307P16Rik"
7.27610966143102e-07,0.826656420516299,0.984,0.666,0.02349092004193,"1","Sox4"
8.78985160261887e-07,0.511850354167024,0.859,0.597,0.028378035899055,"1","Stap1"
8.95950189816548e-07,0.847862781788868,0.995,0.764,0.0289257518782273,"1","Vav3"
9.8603899728071e-07,0.593938735481922,0.995,0.749,0.0318342690272077,"1","Ssbp2"
1.09012743035101e-06,1.2618511310686,0.886,0.506,0.0351947640888825,"1","Stxbp4"
1.23519271220741e-06,2.07374942106233,0.603,0.146,0.0398781967136162,"1","Sema3d"
1.40682227999636e-06,0.58392259342626,0.935,0.631,0.0454192573096826,"1","Atp2b4"
2.02927013936843e-06,0.796977176792286,0.999,0.769,0.0655149864495096,"1","Ptpre"
2.11121908669917e-06,0.573372695953156,0.913,0.618,0.0681607082140828,"1","Alcam"
2.22949583476106e-06,1.15045959427028,0.923,0.514,0.0719792730252608,"1","Satb1"
2.24224824157808e-06,0.561111746209975,0.542,0.318,0.0723909844793484,"1","Myof"
2.37273842845907e-06,0.831285386974963,0.995,0.7,0.0766038601628009,"1","Runx2"
4.13475813307661e-06,0.622525357240531,0.758,0.485,0.133490666326378,"1","Xpc"
5.69352649705133e-06,1.11636366658329,0.795,0.366,0.183815502957302,"1","Tespa1"
5.7888281567432e-06,0.530316048617246,0.584,0.359,0.186892317040454,"1","4931422A03Rik"
7.5297204933368e-06,0.208470235982377,0.887,0.678,0.243097026127379,"1","Ube2r2"
7.95424599911954e-06,0.465372781959756,0.972,0.769,0.256802832081574,"1","Mbnl2"
8.42910955398028e-06,0.754095065275026,0.99,0.726,0.272133801950253,"1","Parp8"
8.59152715049404e-06,0.325744254741564,0.949,0.732,0.2773774540537,"1","Smarca2"
9.24472090911113e-06,0.603644193682814,0.98,0.729,0.298465814550653,"1","2410006H16Rik"
1.15552334569872e-05,0.826609573060043,0.995,0.747,0.373060712158831,"1","Maml3"
1.2547434338008e-05,0.789655802921018,0.546,0.319,0.405093917602587,"1","Slfn8"
1.43456101526497e-05,0.83535080033486,0.954,0.67,0.463148023778295,"1","Calcrl"
1.547534720423e-05,0.669663822730941,0.914,0.619,0.499621584488565,"1","Zfas1"
1.56648108595431e-05,0.841910493946442,0.653,0.387,0.505738418600348,"1","Gm20342"
1.66779764132968e-05,0.512635113663458,0.69,0.439,0.538448468503289,"1","Pik3ip1"
1.82886779178575e-05,0.588001308142855,0.999,0.786,0.590449966578029,"1","Lmo2"
1.83987802471862e-05,0.833926961013345,0.952,0.599,0.594004620280407,"1","Ccser1"
1.9324726874143e-05,0.662228618126232,0.974,0.721,0.623898807131708,"1","Arhgef18"
2.04772304402182e-05,1.01049721533754,0.899,0.587,0.661107384762445,"1","Slco3a1"
