"","mutant_1","mutant_2","mutant_3","mutant_4","wt_1","wt_2","wt_3","wt_4"
"Xkr4",43,45,17,27,59,67,65,68
"Gm1992",0,0,0,0,2,0,1,0
"Gm19938",0,0,0,0,0,1,0,0
"Gm37381",1,0,1,0,1,0,1,0
"Rp1",7,6,4,1,13,3,8,1
"Sox17",2,0,1,3,0,4,1,0
"Gm37587",0,0,0,0,0,0,0,0
"Gm37323",2,0,0,0,0,3,0,2
"Mrpl15",3461,3472,2497,1780,4426,5641,5491,4238
"Lypla1",2418,2542,1829,1343,3754,4301,4652,3526
"Tcea1",5657,5845,4103,3080,8963,10672,10517,7786
"Rgs20",4,5,6,1,9,10,21,4
"Gm16041",0,0,0,0,1,0,0,0
"Atp6v1h",2941,2882,2076,1685,5110,5344,5789,4337
"Oprk1",0,0,0,0,1,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0
"Rb1cc1",7020,7405,5145,4193,13072,12976,14335,10429
"4732440D04Rik",484,563,378,317,831,778,901,663
"Alkal1",4,5,0,2,2,3,4,5
"St18",510,525,327,251,985,858,1001,806
"Pcmtd1",4537,4876,3646,3099,9201,8988,10726,7428
"Gm26901",385,457,358,248,680,764,852,539
"Gm30414",0,0,0,0,0,0,0,1
"Sntg1",61,69,34,26,95,93,107,106
"Rrs1",1693,1664,1220,733,2068,2778,2503,2034
"Adhfe1",32,62,39,35,162,148,175,132
"2610203C22Rik",7,26,18,21,66,71,64,44
"Vxn",0,1,0,1,1,2,0,0
"Gm29520",0,0,0,0,0,0,0,0
"Mybl1",168,214,128,81,244,396,358,353
"Vcpip1",2645,2816,2003,1552,4630,5127,5634,4147
"1700034P13Rik",90,124,69,76,218,231,186,160
"Sgk3",6407,7185,4444,3326,9800,10878,11511,8343
"Mcmdc2",69,82,40,41,147,144,159,89
"Snhg6",2324,2361,1644,1223,3109,3662,3792,2561
"Tcf24",14,0,3,0,8,7,10,5
"Ppp1r42",52,38,35,45,140,125,179,185
"Gm15818",0,1,1,1,1,5,5,3
"Cops5",3376,3426,2313,1717,4446,5316,5231,4075
"Cspp1",4834,5317,3564,2756,7962,8699,9647,6930
"Arfgef1",7313,7439,5472,4225,14061,14772,16317,12447
"Cpa6",182,157,134,136,483,362,527,485
"Prex2",1495,1487,1124,1025,3177,2983,3033,2149
"A830018L16Rik",6,5,12,7,18,14,20,9
"Gm17644",0,0,0,0,0,1,0,0
"Gm29663",0,0,0,0,0,0,0,0
"Sulf1",1,2,3,1,5,4,7,0
"Slco5a1",55,45,48,40,78,72,102,63
"Gm29283",0,0,0,0,0,0,2,1
"Prdm14",2,1,0,1,1,3,1,2
"Ncoa2",15012,15680,10770,8764,26016,26857,31666,23413
"Gm29570",35,37,27,24,93,73,76,44
"Tram1",5693,5661,4046,3111,8964,10576,11208,8119
"Lactb2",1420,1538,1045,768,2333,2625,2828,2079
"Xkr9",2,1,1,0,1,0,0,0
"Eya1",5969,5502,4290,3400,12039,11190,13722,9953
"Gm9947",0,0,1,0,0,0,0,0
"Msc",0,0,0,0,0,0,0,0
"Trpa1",4,11,5,2,10,18,38,22
"Kcnb2",2,10,65,28,21,21,27,54
"Terf1",2992,3382,2252,1660,5026,5412,5823,4510
"Sbspon",105,128,71,70,142,142,178,113
"4930444P10Rik",3,1,5,3,6,11,11,5
"Rpl7",92403,93099,62738,44354,124044,152293,157373,125382
"Rdh10",422,514,319,267,820,901,1021,736
"Gm28095",0,1,0,0,4,1,4,0
"Stau2",2699,2723,2036,1477,5247,5797,6267,4451
"Gm7568",1,6,2,2,4,4,3,4
"Ube2w",3795,3983,3001,2169,6031,6238,7072,5340
"Eloc",4629,4609,3363,2388,6426,8270,8110,6332
